onset	duration	trial	value	instruction
5785	6	1	1	rest
11717	1	1	2	ready
12731	6	1	3	task
18679	8	1	4	interval
26749	6	2	1	rest
32719	1	2	2	ready
33731	6	2	3	task
39672	8	2	4	interval
47758	6	3	1	rest
53735	1	3	2	ready
54735	6	3	3	task
60679	8	3	4	interval
68770	6	4	1	rest
74733	1	4	2	ready
75732	6	4	3	task
81685	8	4	4	interval
89770	6	5	1	rest
95730	1	5	2	ready
96736	6	5	3	task
102688	8	5	4	interval
110761	6	6	1	rest
116733	1	6	2	ready
117740	6	6	3	task
123682	8	6	4	interval
131773	6	7	1	rest
137734	1	7	2	ready
138745	6	7	3	task
144687	8	7	4	interval
152772	6	8	1	rest
158733	1	8	2	ready
159744	6	8	3	task
165696	8	8	4	interval
173778	6	9	1	rest
179743	1	9	2	ready
180755	6	9	3	task
186691	8	9	4	interval
194780	6	10	1	rest
200742	1	10	2	ready
201746	6	10	3	task
207694	8	10	4	interval
215779	6	11	1	rest
221747	1	11	2	ready
222753	6	11	3	task
228703	8	11	4	interval
236791	6	12	1	rest
242762	1	12	2	ready
243771	6	12	3	task
249702	8	12	4	interval
257786	6	13	1	rest
263754	1	13	2	ready
264754	6	13	3	task
270702	8	13	4	interval
278786	6	14	1	rest
284757	1	14	2	ready
285775	6	14	3	task
291705	8	14	4	interval
299796	6	15	1	rest
305764	1	15	2	ready
306784	6	15	3	task
312709	8	15	4	interval
320794	6	16	1	rest
326762	1	16	2	ready
327766	6	16	3	task
333720	8	16	4	interval
341797	6	17	1	rest
347766	1	17	2	ready
348761	6	17	3	task
354717	8	17	4	interval
362801	6	18	1	rest
368765	1	18	2	ready
369777	6	18	3	task
375718	8	18	4	interval
383802	6	19	1	rest
389773	1	19	2	ready
390770	6	19	3	task
396727	8	19	4	interval
404808	6	20	1	rest
410770	1	20	2	ready
411775	6	20	3	task
417724	8	20	4	interval
