onset	duration	trial	value	instruction
5904	6	1	1	rest
11835	1	1	2	ready
12847	6	1	3	task
18788	8	1	4	interval
26878	6	2	1	rest
32850	1	2	2	ready
33854	6	2	3	task
39788	8	2	4	interval
47883	6	3	1	rest
53847	1	3	2	ready
54857	6	3	3	task
60793	8	3	4	interval
68883	6	4	1	rest
74849	1	4	2	ready
75857	6	4	3	task
81793	8	4	4	interval
89884	6	5	1	rest
95870	1	5	2	ready
96858	6	5	3	task
102804	8	5	4	interval
110889	6	6	1	rest
116869	1	6	2	ready
117865	6	6	3	task
123803	8	6	4	interval
131892	6	7	1	rest
137865	1	7	2	ready
138874	6	7	3	task
144810	8	7	4	interval
152898	6	8	1	rest
158869	1	8	2	ready
159879	6	8	3	task
165817	8	8	4	interval
173898	6	9	1	rest
179870	1	9	2	ready
180872	6	9	3	task
186811	8	9	4	interval
194913	6	10	1	rest
200873	1	10	2	ready
201879	6	10	3	task
207814	8	10	4	interval
215900	6	11	1	rest
221876	1	11	2	ready
222876	6	11	3	task
228817	8	11	4	interval
236913	6	12	1	rest
242867	1	12	2	ready
243880	6	12	3	task
249822	8	12	4	interval
257903	6	13	1	rest
263870	1	13	2	ready
264875	6	13	3	task
270823	8	13	4	interval
278910	6	14	1	rest
284878	1	14	2	ready
285880	6	14	3	task
291827	8	14	4	interval
299908	6	15	1	rest
305887	1	15	2	ready
306884	6	15	3	task
312827	8	15	4	interval
320911	6	16	1	rest
326884	1	16	2	ready
327885	6	16	3	task
333818	8	16	4	interval
341908	6	17	1	rest
347882	1	17	2	ready
348881	6	17	3	task
354827	8	17	4	interval
362913	6	18	1	rest
368884	1	18	2	ready
369887	6	18	3	task
375827	8	18	4	interval
383926	6	19	1	rest
389884	1	19	2	ready
390892	6	19	3	task
396831	8	19	4	interval
404916	6	20	1	rest
410898	1	20	2	ready
411892	6	20	3	task
417824	8	20	4	interval
